,time,price,roundedPrice,level_0_l,level_0_s,level_1_up_l,level_1_up_s,level_1_down_l,level_1_down_s,level_2_up_l,level_2_up_s,level_2_down_l,level_2_down_s,level_3_up_l,level_3_up_s,level_3_down_l,level_3_down_s,level_4_up_l,level_4_up_s,level_4_down_l,level_4_down_s,level_5_up_l,level_5_up_s,level_5_down_l,level_5_down_s
0,2019-03-01T00:00:00Z,1.13730,1.1375,0.0754,0.0965,0.0784,0.1236,0.0784,0.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-03-01T00:20:00Z,1.13693,1.1375,0.0572,0.1053,0.0813,0.1204,0.0813,0.1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-03-01T00:40:00Z,1.13711,1.1375,0.0693,0.1084,0.0873,0.1205,0.0873,0.1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-03-01T01:00:00Z,1.13703,1.1375,0.0752,0.1293,0.0812,0.1293,0.0812,0.1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-03-01T01:20:00Z,1.13721,1.1375,0.1023,0.1204,0.0813,0.1354,0.0813,0.1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019-03-01T01:40:00Z,1.13725,1.1375,0.1173,0.1203,0.0812,0.1443,0.0812,0.1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019-03-01T02:00:00Z,1.13721,1.1375,0.0961,0.1231,0.0841,0.1441,0.0841,0.1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019-03-01T02:20:00Z,1.13672,1.1375,0.1046,0.1554,0.0717,0.0986,0.0717,0.0986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019-03-01T02:40:00Z,1.13665,1.1375,0.1047,0.1615,0.0807,0.1047,0.0807,0.1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-03-01T03:00:00Z,1.13696,1.1375,0.1047,0.1675,0.0838,0.1077,0.0838,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019-03-01T03:20:00Z,1.13721,1.1375,0.1287,0.1736,0.0868,0.1077,0.0868,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019-03-01T03:40:00Z,1.13717,1.1375,0.1496,0.1795,0.0897,0.1167,0.0897,0.1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019-03-01T04:00:00Z,1.13693,1.1375,0.1406,0.1795,0.0898,0.1227,0.0898,0.1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-03-01T04:20:00Z,1.13716,1.1375,0.1494,0.1942,0.0956,0.1225,0.0956,0.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019-03-01T04:40:00Z,1.13730,1.1375,0.1700,0.2087,0.0954,0.1312,0.0954,0.1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019-03-01T05:00:00Z,1.13741,1.1375,0.1522,0.2089,0.0985,0.1492,0.0985,0.1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2019-03-01T05:20:00Z,1.13738,1.1375,0.1431,0.2117,0.0924,0.1521,0.0924,0.1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2019-03-01T05:40:00Z,1.13727,1.1375,0.1281,0.2056,0.0924,0.1520,0.0924,0.1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2019-03-01T06:00:00Z,1.13707,1.1375,0.1489,0.1995,0.0953,0.1519,0.0953,0.1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2019-03-01T06:20:00Z,1.13736,1.1375,0.1755,0.2260,0.0982,0.1576,0.0982,0.1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-03-01T06:40:00Z,1.13703,1.1375,0.1451,0.2073,0.1007,0.1747,0.1007,0.1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2019-03-01T07:00:00Z,1.13620,1.1375,0.1273,0.1540,0.1095,0.1125,0.1095,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2019-03-01T07:20:00Z,1.13673,1.1375,0.1358,0.1565,0.0974,0.1122,0.0974,0.1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2019-03-01T07:40:00Z,1.13702,1.1375,0.1382,0.1970,0.1029,0.1264,0.1029,0.1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2019-03-01T08:00:00Z,1.13724,1.1375,0.1884,0.2090,0.1178,0.1354,0.1178,0.1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2019-03-01T08:20:00Z,1.13627,1.1375,0.1350,0.1995,0.0939,0.1232,0.0939,0.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2019-03-01T08:40:00Z,1.13540,1.1375,0.1429,0.2012,0.1137,0.1371,0.1137,0.1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
